epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6074,0.78823,3.47308,1.08945,0.31851,0.3005,0.20915,0.17931,0.60516,3.22099,1.09362,7.145e-05,7.145e-05,7.145e-05
2,29.1361,0.64747,2.33671,1.05203,0.39645,0.44508,0.42718,0.35496,0.83258,2.92809,1.24553,0.000154596,0.000154596,0.000154596
3,33.4349,0.56956,1.68046,0.99682,0.36491,0.6122,0.51925,0.4474,0.92765,2.66132,1.2081,0.000234913,0.000234913,0.000234913
4,35.828,0.49972,1.19998,0.94262,0.53686,0.6746,0.55224,0.42547,0.86583,2.6961,1.14222,0.000312401,0.000312401,0.000312401
5,38.0726,0.51048,1.11322,0.96573,0.55994,0.65476,0.56014,0.42498,0.87388,2.84696,1.14044,0.000387059,0.000387059,0.000387059
6,40.3315,0.50483,1.03481,0.95852,0.59147,0.60689,0.58289,0.41488,0.98832,1.68925,1.2612,0.000458888,0.000458888,0.000458888
7,42.5701,0.54823,0.9379,0.96057,0.83184,0.364,0.50426,0.28932,1.1478,2.19585,1.4195,0.000527887,0.000527887,0.000527887
8,45.3724,0.52624,0.89311,0.92854,0.57802,0.86805,0.69526,0.53057,0.90577,1.46524,1.29316,0.000594057,0.000594057,0.000594057
9,48.0766,0.55789,0.81361,0.95212,0.52057,0.84921,0.61525,0.43556,0.99052,1.49834,1.3393,0.000657397,0.000657397,0.000657397
10,50.2873,0.56547,0.82209,0.97088,0.63564,0.90747,0.74491,0.51218,0.96006,1.30231,1.4425,0.000717908,0.000717908,0.000717908
11,52.4763,0.5748,0.85231,0.95597,0.37078,0.873,0.65614,0.44859,0.99305,1.55763,1.37781,0.00077559,0.00077559,0.00077559
12,54.7378,0.55338,0.81381,0.9351,0.61671,0.68452,0.66791,0.50684,0.95316,1.66379,1.33537,0.000830442,0.000830442,0.000830442
13,57.0044,0.53293,0.73188,0.96236,0.50265,0.67262,0.58796,0.40093,1.10422,1.71605,1.45898,0.000882465,0.000882465,0.000882465
14,60.1159,0.54769,0.74967,0.95051,0.57449,0.7262,0.72853,0.49609,1.10824,1.71876,1.59712,0.000931658,0.000931658,0.000931658
15,62.2888,0.5083,0.71488,0.95279,0.58794,0.58684,0.6103,0.41811,1.10263,2.37444,1.5871,0.000978022,0.000978022,0.000978022
16,64.5431,0.57281,0.80136,0.94693,0.28972,0.47222,0.42297,0.27929,1.38746,2.23477,2.22654,0.00102156,0.00102156,0.00102156
17,66.799,0.54157,0.6816,0.95398,0.38367,0.51295,0.55833,0.3448,1.12511,1.98628,1.61847,0.00105174,0.00105174,0.00105174
18,69.0114,0.48966,0.58734,0.91544,0.42939,0.71501,0.48527,0.26101,1.5563,1.82999,1.80905,0.00102817,0.00102817,0.00102817
19,71.6379,0.55477,0.63437,0.93045,0.5362,0.5965,0.61169,0.40718,1.3505,1.39253,1.7302,0.00100459,0.00100459,0.00100459
20,74.3369,0.52997,0.60494,0.94021,0.63786,0.81548,0.73595,0.55819,0.95403,1.14114,1.31041,0.000981008,0.000981008,0.000981008
21,76.6771,0.49137,0.62508,0.90086,0.64544,0.8727,0.71437,0.52464,1.05375,1.11819,1.3626,0.00095743,0.00095743,0.00095743
22,78.9566,0.47934,0.60165,0.92775,0.66168,0.72421,0.81154,0.61058,0.85433,1.42903,1.23931,0.000933851,0.000933851,0.000933851
23,81.3119,0.4716,0.63642,0.91326,0.66907,0.91614,0.84446,0.61482,0.90078,1.4721,1.24767,0.000910273,0.000910273,0.000910273
24,83.6951,0.47603,0.5767,0.90237,0.57766,0.50198,0.65812,0.48664,0.96945,1.38519,1.39497,0.000886694,0.000886694,0.000886694
25,86.8952,0.46536,0.52499,0.9118,0.4744,0.78547,0.58582,0.45831,1.05802,1.7282,1.40583,0.000863116,0.000863116,0.000863116
